temperature-(celsius),year,month,country,ISO3
7.24783,1932,Sep,Russian Federation,RUS
-3.1965,1932,Oct,Russian Federation,RUS
-18.32,1932,Nov,Russian Federation,RUS
-23.861,1932,Dec,Russian Federation,RUS
-28.24,1933,Jan,Russian Federation,RUS
-27.44,1933,Feb,Russian Federation,RUS
-19.463,1933,Mar,Russian Federation,RUS
-7.3197,1933,Apr,Russian Federation,RUS
0.9871,1933,May,Russian Federation,RUS
9.9361,1933,Jun,Russian Federation,RUS
14.7243,1933,Jul,Russian Federation,RUS
12.1466,1933,Aug,Russian Federation,RUS
4.86825,1933,Sep,Russian Federation,RUS
-3.7626,1933,Oct,Russian Federation,RUS
-17.631,1933,Nov,Russian Federation,RUS
-25.145,1933,Dec,Russian Federation,RUS
-24.411,1934,Jan,Russian Federation,RUS
-19.355,1934,Feb,Russian Federation,RUS
-17.583,1934,Mar,Russian Federation,RUS
-8.4827,1934,Apr,Russian Federation,RUS
3.78032,1934,May,Russian Federation,RUS
10.8663,1934,Jun,Russian Federation,RUS
14.5029,1934,Jul,Russian Federation,RUS
12.0833,1934,Aug,Russian Federation,RUS
4.74029,1934,Sep,Russian Federation,RUS
-3.8447,1934,Oct,Russian Federation,RUS
-15.4,1934,Nov,Russian Federation,RUS
-23.964,1934,Dec,Russian Federation,RUS
-26.905,1935,Jan,Russian Federation,RUS
-20.18,1935,Feb,Russian Federation,RUS
-17.628,1935,Mar,Russian Federation,RUS
-8.3084,1935,Apr,Russian Federation,RUS
2.59402,1935,May,Russian Federation,RUS
10.8621,1935,Jun,Russian Federation,RUS
14.6958,1935,Jul,Russian Federation,RUS
12.2793,1935,Aug,Russian Federation,RUS
6.04634,1935,Sep,Russian Federation,RUS
-5.142,1935,Oct,Russian Federation,RUS
-18.652,1935,Nov,Russian Federation,RUS
-24.48,1935,Dec,Russian Federation,RUS
-28.38,1936,Jan,Russian Federation,RUS
-25.465,1936,Feb,Russian Federation,RUS
